user_id,preferred_difficulty,preferred_region,preferred_season,preferred_tags,activity_level
user_087,moderate,west,autumn,forest|waterfall,medium
user_088,hard,west,winter,mountain|viewpoint,medium
user_089,hard,west,spring,coastal|mountain,high
user_090,hard,central,summer,coastal|waterfall,high
user_091,moderate,north,winter,viewpoint|waterfall,medium
user_092,hard,south,spring,coastal|viewpoint,medium
user_093,hard,north,winter,mountain|waterfall,high
user_094,easy,east,winter,forest|lake,low
user_095,hard,west,autumn,waterfall|wildlife,medium
user_096,hard,west,spring,mountain|wildlife,high
user_097,easy,north,spring,family|lake,medium
user_098,moderate,central,summer,forest|lake,high
user_099,easy,west,autumn,forest|lake,low
user_100,moderate,south,autumn,forest|viewpoint,high
user_101,easy,west,summer,family|waterfall,low
user_102,moderate,east,spring,forest|lake,low
user_103,hard,central,winter,mountain|wildlife,high
user_104,easy,north,winter,family|wildlife,medium
user_105,moderate,west,summer,mountain|waterfall,high
user_106,moderate,west,winter,viewpoint|waterfall,medium
user_107,hard,south,spring,waterfall|wildlife,high
user_108,easy,central,winter,lake|waterfall,low
user_109,hard,west,summer,viewpoint|wildlife,medium
user_110,moderate,central,autumn,mountain|viewpoint,medium
user_111,moderate,west,winter,forest|lake,medium
user_112,moderate,west,spring,viewpoint|waterfall,medium
user_113,easy,east,autumn,lake|waterfall,low
user_114,moderate,east,winter,mountain|waterfall,medium
user_115,easy,south,autumn,forest|lake,low
user_116,moderate,south,winter,lake|viewpoint,low
user_117,moderate,north,summer,mountain|viewpoint,low
user_118,moderate,north,summer,lake|mountain,medium
user_119,easy,south,winter,family|wildlife,low
user_120,easy,west,winter,family|wildlife,low
user_121,moderate,west,spring,forest|mountain,medium
user_122,hard,central,spring,coastal|mountain,high
user_123,moderate,south,spring,forest|mountain,low
user_124,hard,central,winter,viewpoint|waterfall,medium
user_125,hard,east,spring,coastal|wildlife,medium
user_126,easy,east,spring,lake|wildlife,medium
user_127,easy,south,spring,forest|wildlife,low
user_128,hard,south,autumn,mountain|wildlife,medium
user_129,hard,east,summer,mountain|viewpoint,medium
user_130,moderate,south,spring,lake|mountain,medium
user_131,easy,west,spring,family|wildlife,low
user_132,moderate,central,winter,mountain|waterfall,medium
user_133,easy,central,autumn,family|waterfall,medium
user_134,easy,east,spring,forest|wildlife,low
user_135,moderate,east,summer,viewpoint|waterfall,high
user_136,hard,west,autumn,coastal|mountain,high
user_137,moderate,east,winter,forest|lake,medium
user_138,moderate,west,spring,forest|waterfall,medium
user_139,moderate,central,spring,forest|waterfall,medium
user_140,hard,south,autumn,coastal|mountain,medium
user_141,hard,south,autumn,coastal|mountain,medium
user_142,moderate,north,spring,viewpoint|waterfall,medium
user_143,hard,east,spring,viewpoint|waterfall,high
user_144,easy,west,spring,forest|lake,medium
user_145,moderate,central,autumn,mountain|waterfall,medium
user_146,hard,west,summer,coastal|viewpoint,medium
user_147,moderate,west,autumn,forest|mountain,medium
user_148,hard,east,autumn,mountain|wildlife,high
user_149,hard,west,winter,coastal|viewpoint,high
user_150,hard,south,summer,coastal|wildlife,medium
user_151,moderate,east,winter,forest|waterfall,medium
user_152,hard,west,spring,coastal|viewpoint,medium
user_153,moderate,west,spring,forest|mountain,low
user_154,hard,west,summer,mountain|viewpoint,medium
user_155,easy,north,autumn,family|waterfall,low
user_156,hard,west,spring,coastal|wildlife,high
user_157,moderate,north,winter,lake|mountain,medium
user_158,hard,south,autumn,coastal|mountain,high
user_159,moderate,east,autumn,forest|mountain,high
user_160,moderate,central,summer,lake|waterfall,medium
user_161,easy,central,summer,waterfall|wildlife,low
user_162,moderate,east,winter,lake|waterfall,medium
user_163,easy,central,summer,family|waterfall,low
user_164,easy,west,autumn,family|wildlife,low
user_165,moderate,west,spring,lake|waterfall,medium
user_166,moderate,east,spring,mountain|viewpoint,low
user_167,hard,north,spring,coastal|wildlife,high
user_168,hard,south,autumn,coastal|wildlife,high
user_169,easy,south,spring,family|wildlife,low
user_170,hard,west,spring,mountain|wildlife,high
user_171,moderate,east,winter,forest|mountain,medium
user_172,easy,central,autumn,family|wildlife,low
user_173,hard,east,spring,coastal|wildlife,high
user_174,easy,west,autumn,lake|wildlife,medium
user_175,easy,central,spring,family|forest,low
user_176,moderate,east,spring,viewpoint|waterfall,medium
user_177,hard,central,summer,mountain|wildlife,medium
user_178,hard,north,summer,coastal|wildlife,medium
user_179,easy,north,spring,family|waterfall,low
user_180,moderate,west,autumn,lake|waterfall,low
user_181,hard,west,spring,viewpoint|waterfall,medium
user_182,hard,north,autumn,coastal|wildlife,high
user_183,easy,north,autumn,family|lake,low
user_184,moderate,east,summer,forest|waterfall,medium
user_185,hard,central,spring,mountain|viewpoint,high
user_186,easy,central,summer,lake|wildlife,low
user_187,moderate,south,autumn,lake|viewpoint,low
user_188,hard,south,summer,mountain|wildlife,high
user_189,moderate,south,spring,forest|viewpoint,medium
user_190,moderate,north,summer,mountain|viewpoint,medium
user_191,easy,north,winter,forest|waterfall,low
user_192,moderate,west,summer,forest|viewpoint,medium
user_193,moderate,west,spring,mountain|viewpoint,high
user_194,easy,north,winter,waterfall|wildlife,low
user_195,hard,east,summer,mountain|waterfall,medium
user_196,easy,west,autumn,family|wildlife,low
user_197,hard,central,summer,mountain|waterfall,medium
user_198,moderate,west,winter,mountain|waterfall,medium
user_199,easy,east,autumn,family|waterfall,medium
user_200,moderate,north,spring,forest|waterfall,medium
