route_id,region,length_km,duration_hours,elevation_gain_m,difficulty,popularity,season,route_tags
route_045,west,9.1,3.7,399,moderate,0.51,summer,mountain|viewpoint
route_046,south,7.2,4.3,850,moderate,0.285,spring,lake|mountain|waterfall
route_047,south,19.1,7.1,1108,hard,0.181,spring,coastal|viewpoint
route_048,east,6.6,2.7,273,easy,0.078,autumn,waterfall|wildlife
route_049,east,4.8,2.0,159,easy,0.264,autumn,family|lake|wildlife
route_050,north,25.1,11.1,1755,hard,0.15,autumn,coastal|viewpoint
route_051,central,16.1,6.6,723,hard,0.244,autumn,mountain|viewpoint|wildlife
route_052,south,2.7,1.0,98,easy,0.149,summer,family|forest|wildlife
route_053,south,6.7,3.6,827,moderate,0.239,winter,viewpoint|waterfall
route_054,north,10.6,4.2,717,moderate,0.79,summer,forest|lake|viewpoint
route_055,west,7.5,1.9,55,easy,0.421,autumn,waterfall|wildlife
route_056,south,12.0,5.4,802,moderate,0.188,spring,mountain|waterfall
route_057,west,10.8,4.5,485,moderate,0.19,spring,forest|lake
route_058,south,12.0,4.7,299,moderate,0.247,autumn,mountain|viewpoint
route_059,central,13.4,5.3,492,moderate,0.536,summer,forest|viewpoint|waterfall
route_060,south,22.4,10.3,1774,hard,0.127,autumn,coastal|mountain|viewpoint
route_061,central,20.5,8.2,974,hard,0.299,summer,coastal|wildlife
route_062,east,13.9,4.3,442,moderate,0.589,spring,forest|lake
route_063,east,14.2,5.3,459,moderate,0.289,autumn,viewpoint|waterfall
route_064,east,23.3,8.1,1355,hard,0.439,winter,viewpoint|waterfall
route_065,west,6.6,2.3,275,easy,0.29,winter,family|lake|viewpoint
route_066,west,6.9,2.2,348,easy,0.602,autumn,waterfall|wildlife
route_067,west,4.9,2.3,230,easy,0.623,summer,forest|lake|waterfall
route_068,north,15.5,7.8,1512,hard,0.277,spring,coastal|waterfall
route_069,south,11.7,4.9,425,moderate,0.258,summer,lake|viewpoint|waterfall
route_070,south,8.5,4.2,806,moderate,0.554,summer,lake|mountain|waterfall
route_071,central,7.4,2.3,60,easy,0.06,winter,family|forest
route_072,south,8.1,3.4,816,moderate,0.686,spring,lake|mountain
route_073,south,7.4,3.7,648,moderate,0.05,spring,viewpoint|waterfall
route_074,west,6.9,2.9,341,moderate,0.463,spring,lake|mountain|viewpoint
route_075,north,7.5,3.3,525,moderate,0.132,autumn,lake|waterfall
route_076,east,2.6,1.3,175,easy,0.281,autumn,lake|waterfall|wildlife
route_077,central,16.0,6.3,1705,hard,0.19,summer,viewpoint|waterfall|wildlife
route_078,west,6.0,2.1,127,easy,0.346,summer,family|lake|waterfall
route_079,west,13.1,4.5,325,moderate,0.208,spring,family|forest|viewpoint
route_080,north,9.2,3.1,295,moderate,0.514,spring,lake|mountain
route_081,north,11.2,5.3,839,moderate,0.281,winter,mountain|waterfall
route_082,west,6.6,2.2,92,easy,0.598,autumn,family|forest
route_083,south,6.7,2.0,75,easy,0.185,winter,family|lake|wildlife
route_084,central,12.6,4.6,452,moderate,0.169,summer,lake|mountain
route_085,west,6.7,2.2,290,easy,0.501,summer,family|forest|lake|wildlife
route_086,central,2.6,1.1,211,easy,0.368,summer,coastal|lake|waterfall|wildlife
route_087,west,21.5,7.6,1435,hard,0.196,winter,coastal|forest|waterfall
route_088,central,8.0,3.1,283,moderate,0.139,spring,forest|mountain|waterfall
route_089,south,6.5,1.8,41,easy,0.163,autumn,family|waterfall
route_090,west,18.5,6.6,940,hard,0.618,summer,mountain|viewpoint|waterfall
route_091,south,10.8,4.8,801,moderate,0.132,winter,lake|mountain
route_092,west,2.8,1.0,184,easy,0.433,winter,forest|wildlife
route_093,central,12.3,4.7,627,moderate,0.334,winter,lake|waterfall
route_094,north,3.6,1.5,300,easy,0.294,winter,forest|lake
route_095,north,7.3,1.9,123,easy,0.801,autumn,forest|lake|wildlife
route_096,west,12.8,4.5,689,moderate,0.05,spring,forest|mountain
route_097,south,7.2,3.1,322,moderate,0.342,summer,forest|viewpoint
route_098,central,3.9,1.4,129,easy,0.528,winter,family|waterfall
route_099,east,5.5,1.8,147,easy,0.349,summer,family|lake|wildlife
route_100,east,13.1,4.9,495,moderate,0.356,autumn,viewpoint|waterfall
route_101,central,12.9,5.6,324,moderate,0.49,autumn,lake|viewpoint|waterfall
route_102,north,5.0,2.4,335,easy,0.168,autumn,forest|lake|waterfall|wildlife
route_103,central,5.4,1.8,48,easy,0.638,autumn,family|lake
route_104,west,23.5,8.2,941,hard,0.107,autumn,coastal|viewpoint
route_105,west,2.6,1.3,313,easy,0.061,summer,lake|waterfall
route_106,east,6.5,2.6,312,easy,0.568,autumn,family|waterfall|wildlife
route_107,south,6.3,2.7,338,easy,0.514,spring,forest|lake
route_108,central,12.2,3.5,259,moderate,0.36,summer,forest|waterfall
route_109,north,3.5,0.9,42,easy,0.425,spring,forest|lake|waterfall
route_110,east,5.6,2.1,86,easy,0.214,winter,forest|lake
route_111,south,6.2,2.3,75,easy,0.337,winter,family|waterfall
route_112,south,6.4,1.9,175,easy,0.121,autumn,forest|wildlife
route_113,south,7.4,1.9,35,easy,0.612,spring,forest|lake|wildlife
route_114,east,5.5,2.6,350,easy,0.662,spring,forest|waterfall|wildlife
route_115,south,17.7,6.8,760,hard,0.379,spring,viewpoint|waterfall|wildlife
route_116,central,11.0,4.6,312,moderate,0.222,spring,mountain|waterfall
route_117,east,14.2,6.0,764,moderate,0.241,spring,mountain|viewpoint
route_118,south,27.6,10.9,905,hard,0.294,winter,coastal|viewpoint|waterfall
route_119,central,22.9,7.5,757,hard,0.276,autumn,coastal|family|mountain
route_120,east,6.2,3.4,739,moderate,0.16,spring,lake|viewpoint
